N_cluster	n_traits	study_ids	traits	EFOs	h2s	intercepts	alfa	expected_h2_gip1	expected_rgs	ChatGPT_name	intercept_min	intercept_max	GIP1_intecept	GIP1_h2
./65	10	FINNGEN_R6_F5_MOOD;FINNGEN_R6_KRA_PSY_ANXIETY_EXMORE;FINNGEN_R6_KRA_PSY_ANXIETY;FINNGEN_R6_F5_ALLANXIOUS;FINNGEN_R6_KRA_PSY_ANYMENTAL;FINNGEN_R6_KRA_PSY_MOOD_EXMORE;FINNGEN_R6_F5_DEPRESSIO;FINNGEN_R6_F5_PERSOBEH;FINNGEN_R6_F5_PERSONALITY;FINNGEN_R6_ANTIDEPRESSANTS	Mood [affective] disorders;Anxiety disorders (more control exclusions);Anxiety disorders;All anxiety disorders;Any mental disorder;Mood disorders (more control exclusions);Depression;Disorders of adult personality and behaviour;Specific personality disorders;Depression medications	EFO_0004247;EFO_0006788;EFO_0000677;MONDO_0002050;EFO_0000677, HP_0012075;HP_0012075;CHEBI_35469	0.0218;0.0238;0.0168;0.0153;0.0263;0.0274;0.021;0.0124;0.0115;0.0579	1.0733;1.0611;1.0589;1.0405;1.0949;1.0815;1.0631;1.0224;1.0197;1.094	0.144876592304668;0.150454173689789;0.126394643484611;0.119544607359012;0.158883904919997;0.162422150687486;0.1421934602417;0.104600790964982;0.0990962516440841;0.233539142135937	0.05124802	1.00494262373977;0.99881959244345;0.998723616872483;0.989818498356533;1.00339821055429;1.00494262373977;1.00494262373977;0.962045067779757;0.946410606142507;0.994012143629877	Mood disorders cluster	1.0197	1.0949	1.1635	0.0535
./68	3	NEALE2_20002_1309;GCST90038652;GCST90038656	Osteoporosis | non-cancer illness code, self-reported;Bone disorder;Osteoporosis	EFO_0003882;EFO_0004260	0.0139;0.0119;0.0126	1.0029;1.0023;1.0013	0.381607004728016;0.350890741718833;0.361189925007255	0.015270422	1.00192907966544;0.995695335377491;0.996043713702694	Osteoporosis cluster	1.0013	1.0029	1.0416	0.0151
./70	3	GCST90025946;GCST003401;GCST003372	Creatinine levels;Glomerular filtration rate in non diabetics (creatinine);Glomerular filtration rate (creatinine)	EFO_0004518;EFO_0005208, EFO_0004518	0.2947;0.1167;0.1103	1.2631;1.0146;1.011	0.601332502040103;-0.378679163700043;-0.365838762149539	0.332178811	0.999357151360331;-1.00007390586159;-0.993797905492744	Creatinine levels cluster	1.011	1.2631	1.039	0.4127
./73	10	FINNGEN_R6_KRA_PSY_SUBSTANCE;FINNGEN_R6_F5_ALCOHOL;FINNGEN_R6_AUD_SWEDISH;FINNGEN_R6_F5_ALCOHOL_DEPENDENCE;FINNGEN_R6_OFFICIAL_TILASTOKESKUS;FINNGEN_R6_AUD;FINNGEN_R6_ALCOHOLMENTAL;FINNGEN_R6_ALCOHOL_RELATED;SAIGE_317;FINNGEN_R6_KRA_PSY_SUBSTANCE_EXMORE	"Substance abuse;Mental and behavioural disorders due to alcohol;""""Alcohol use disorder, Swedish definition"""";Alcohol dependence;""""Alcohol related diseases, tilastokeskus definition"""";""""Alcohol use disorder, ICD-based"""";""""Mental and behavioural disorders due to alcohol, excluding acute intoxication"""";""""Alcohol related diseases and deaths, all endoints"""";Alcohol-related disorders;Substance abuse (more control exclusions)"	MONDO_0002491;MONDO_0002326;MONDO_0021699;EFO_0003829;MONDO_0002046;EFO_0000677, MONDO_0021698;MONDO_0021698	0.0212;0.0203;0.0219;0.0152;0.0215;0.018;0.0191;0.0232;0.0105;0.0249	1.0676;1.064;1.0554;1.0347;1.0607;1.0552;1.0568;1.0582;1.0147;1.0661	0.124925472686183;0.122168413133659;0.126502118205151;0.105531023122343;0.125704942373058;0.114811759787254;0.118186518668318;0.130393003668134;0.0808142369073215;0.135394860063288	0.027659732	1.00145129918527;1.00082392146758;0.997751762326182;0.999091163961574;1.0006446706911;0.998842204549791;0.998155076573271;0.99921066447923;0.920534331613431;1.0014961118794	Substance abuse cluster	1.0147	1.0676	1.1013	0.0287
./74	3	GCST005185;GCST005180;GCST000571	Fasting blood insulin;Homeostasis model assessment of beta-cell function;Fasting blood insulin	EFO_0004466;EFO_0004469	0.0739;0.0934;0.0753	1.0213;0.9959;1.006	0.384107631666517;0.416945258788372;0.371011003820056	0.108393624	1.01342215084821;0.978510020340583;0.969725862211234	Insulin and beta-cell function cluster	0.9959	1.0213	1.0582	0.128
./79	10	NEALE2_20002_1074;SAIGE_411_1;FINNGEN_R6_I9_MI_STRICT;NEALE2_20002_1075;FINNGEN_R6_I9_REVASC;NEALE2_20111_1;GCST005194;NEALE2_20107_1;GCST000998;SAIGE_411	"Angina | non-cancer illness code, self-reported;Unstable angina (intermediate coronary syndrome);""""Myocardial infarction, strict"""";Heart attack/myocardial infarction | non-cancer illness code, self-reported;Coronary revascularization (ANGIO or CABG);Heart disease | illnesses of siblings;Coronary artery disease;Heart disease | illnesses of father;Coronary heart disease;Ischemic heart disease"	EFO_0003913;EFO_1000985;EFO_0000612;;EFO_0000319;EFO_0001645;EFO_1001375	0.0232;0.0117;0.021;0.0192;0.0264;0.0175;0.1083;0.029;0.0705;0.0341	1.0206;0.9982;1.0553;1.013;1.0891;1.007;0.9993;0.9982;1.0148;1.0385	0.165055937910269;0.116792508467394;0.165700777616314;0.155279700948552;0.188076525311427;0.140112435097441;0.376802116962585;0.161686482856491;0.299171566207936;0.206693913881543	0.153286901	0.94743763894011;0.944029420289578;0.999719982326312;0.979777688123014;1.01203632966354;0.92602162849965;1.00106569603719;0.830114860826573;0.985120213184439;0.978619743124222	Coronary disease cluster	0.9982	1.0891	0.9224	0.1559
./81	3	NEALE2_20003_2038460150;NEALE2_6154_100;NEALE2_6154_3	Paracetamol | treatment/medication code;None of the above | medication for pain relief, constipation, heartburn;Paracetamol | medication for pain relief, constipation, heartburn	CHEBI_46195;	0.0323;0.0543;0.0415	1.021;1.0262;1.02	0.341111550632472;-0.435661986285038;0.383155487794376	0.056278169	0.994028830639825;-0.97915978597443;0.98504215854127	Pain medication cluster	1.02	1.0262	1.0652	0.0562
./82	3	NEALE2_2247_1;NEALE2_2247_0;GCST90012115	Yes | hearing difficulty/problems;No | hearing difficulty/problems;Age-related hearing impairment (MTAG)	EFO_0004238;EFO_0008111;EFO_0005782	0.0406;0.0405;0.0497	1.0197;1.0199;0.9944	0.337329439785626;-0.336952429328376;-0.370415994513161	0.046991096	0.995539446349184;-0.995653729286283;-0.988049678856735	Hearing difficulty/problems cluster	0.9944	1.0199	1.0301	0.0471
./84	10	GCST90038690;SAIGE_272_1;NEALE2_20003_1140861958;NEALE2_6177_1;NEALE2_6153_1;FINNGEN_R6_RX_STATIN;NEALE2_20002_1473;SAIGE_272_11;SAIGE_272;NEALE2_20003_1141146234	High cholesterol;Hyperlipidemia;Simvastatin | treatment/medication code;Cholesterol lowering medication | medication for cholesterol, blood pressure or diabetes;Cholesterol lowering medication | medication for cholesterol, blood pressure, diabetes, or take exogenous hormones;Statin medication;High cholesterol | non-cancer illness code, self-reported;Hypercholesterolemia;Disorders of lipoid metabolism;Atorvastatin | treatment/medication code	HP_0003124;EFO_0003774;CHEBI_9150;;GO_0036273;EFO_0007010	0.0408;0.0331;0.0311;0.0791;0.0569;0.0428;0.0461;0.0313;0.0331;0.0143	1.0599;1.0403;1.0171;1.0263;1.0136;1.2635;1.0418;1.0369;1.0402;1.0198	0.162558318824019;0.150848947055528;0.149560720451769;0.238106052119107;0.201877531628284;0.182332744667817;0.180967458472897;0.146491590303771;0.150961635846556;0.105229982515892	0.113419646	0.933584659169051;0.961840091203888;0.983811609362383;0.982102421063069;0.981762505241391;1.02239183871888;0.977742770737259;0.960539245807644;0.96255861525829;1.02081270960433	High cholesterol cluster	1.0136	1.2635	1.0546	0.113
./88	10	FINNGEN_R6_J10_UPPERDIS;FINNGEN_R6_ASTHMA_NAS_EXMORE;FINNGEN_R6_J10_ASTHMACOPDKELA;FINNGEN_R6_J10_ASTHMA_INCLAVO;NEALE2_20003_1141176832;FINNGEN_R6_J10_LOWCHRON;SAIGE_495;FINNGEN_R6_J10_ASTHMA_EXMORE;FINNGEN_R6_J10_ASTHMA_MAIN_EXMORE;FINNGEN_R6_ASTHMA_INFECTIONS	"Other diseases of upper respiratory tract;""""Asthma, unspecified (mode) (more control exclusions)"""";Asthma/COPD (KELA code 203);""""Asthma, including avohilmo"""";Seretide 50 evohaler | treatment/medication code;Chronic lower respiratory diseases;Asthma;Asthma (more control exclusions);Asthma (only as main-diagnosis) (more control exclusions);Asthma-related infections"	MONDO_0004867;EFO_0000270;EFO_0009759;EFO_0007010;EFO_0009433;EFO_0000270, EFO_0000544	0.0221;0.0274;0.0263;0.0258;0.0113;0.027;0.0333;0.0372;0.0339;0.0303	1.1176;1.0366;1.1198;1.1266;0.9914;1.1358;1.0397;1.1035;1.0907;1.0565	0.108597101894339;0.152168806861347;0.150319057378688;0.149691661063564;0.0895188138001742;0.152956241871376;0.166056376097065;0.179686983597893;0.171780707389168;0.161844083120304	0.059838505	0.787460962618049;0.990962656269468;0.999178554684517;1.00460350570091;0.907782971404392;1.00344195901127;0.980935323870877;1.00427368509873;1.00573015641411;1.00226472866458	Asthma and respiratory diseases cluster	0.9914	1.1358	1.1519	0.0618
./90	3	SAIGE_735;FINNGEN_R6_M13_HALLUXVALGUS;SAIGE_735_3	Acquired foot deformities;Hallux valgus (acquired);Hallux valgus (bunion)	HP_0001760;HP_0001822	0.0141;0.0309;0.0128	1.0005;1.0616;1.009	0.409748003354799;0.609511634694877;0.390209413968669	0.039884113	0.996354333341104;1.00117335917241;0.99586227812272	Foot deformities cluster	1.0005	1.0616	0.9953	0.041
./94	2	NEALE2_6154_1;NEALE2_20003_1140868226	Aspirin | medication for pain relief, constipation, heartburn;Aspirin | treatment/medication code	;EFO_0007010	0.0231;0.022	1.0112;1.0138	0.514986714206348;0.502548545776977	0.023325592	0.999476394182512;0.9994226469752	Aspirin cluster	1.0112	1.0138	1.0204	0.0233
./95	8	NEALE2_22126;GCST90038661;NEALE2_6152_9;GCST90038603;NEALE2_20002_1387;GCST90038664;NEALE2_6152_100;GCST005038	Doctor diagnosed hayfever or allergic rhinitis;Allergy, hypersensitivity or anaphylaxis;Hayfever, allergic rhinitis or eczema | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor;Immunological or systemic disorder;Hayfever/allergic rhinitis | non-cancer illness code, self-reported;Allergic rhinitis;None of the above | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor;Allergic disease (asthma, hay fever or eczema)	EFO_0003956;MONDO_0005271;EFO_0000540;EFO_0003956, EFO_0005854;EFO_0005854;	0.0764;0.0194;0.0673;0.0177;0.0215;0.02;0.0702;0.0454	1.0101;1.0226;1.065;1.019;1.0204;1.0288;1.0667;1.0238	0.272247860758044;0.136140223521409;0.254402557068291;0.129170847442873;0.144229230742052;0.137920700515489;-0.256086194970999;0.19924918793411	0.103056893	0.990702460456864;0.983130205162012;0.986368932914682;0.976569869381638;0.989371742291078;0.980934256736353;-0.972171882690253;0.940576402040047	Allergic rhinitis and hayfever cluster	1.0101	1.0667	1.0897	0.1007
./97	6	FINNGEN_R6_I9_AF;SAIGE_427_2;SAIGE_427;FINNGEN_R6_CARDIAC_ARRHYTM;GCST006414;FINNGEN_R6_I9_OTHHEART	Atrial fibrillation and flutter;Atrial fibrillation and flutter;Cardiac dysrhythmias;Cardiac arrhytmias;Atrial fibrillation;Other heart diseases	EFO_0003911, EFO_0000275;EFO_0003911;EFO_1001771;EFO_0004269, EFO_0000341;EFO_0000275;EFO_0003777	0.0567;0.0263;0.0178;0.0362;0.0251;0.0159	1.0665;1.0153;1.0244;1.0744;1.0562;1.0773	0.380856084623677;0.256449614830834;0.212574475581168;0.303807617558059;0.247866031865333;0.196732763151307	0.079211391	1.00381330461927;0.99244798779747;0.99996475690704;1.00213897368061;0.981892023570727;0.979178137496973	Atrial fibrillation cluster	1.0153	1.0773	1.0653	0.0834
./98	5	GCST90038648;NEALE2_20002_1277;NEALE2_6148_2;GCST009722;GCST90038640	Glaucoma;Glaucoma | non-cancer illness code, self-reported;Glaucoma | eye problems/disorders;Glaucoma (multi-trait analysis);Eye or eyelid problem	EFO_0000516;EFO_0003966	0.0095;0.0121;0.0415;0.1803;0.0061	1.0397;1.0115;1.0129;0.935;1.0196	0.143794735137056;0.15516095221824;0.281309555498658;0.613501436431185;0.0935738009015821	0.122761199	1.01547898456987;0.970911194651035;0.950495781375027;0.994506161294133;0.824667938930442	Glaucoma cluster	0.935	1.0397	1.0316	0.1229
./99	3	GCST006100;NEALE2_6164_2;NEALE2_6160_1	Strenuous sports or other exercises;Other exercises (eg: swimming, cycling, keep fit, bowling) | types of physical activity in last 4 weeks;Leisure/social activities: Sports club or gym	EFO_0008002;EFO_0003940	0.0558;0.0469;0.0354	1.0244;1.0132;1.0126	0.44553852051316;0.408671007966022;0.347278311589462	0.06462572	0.986344086350438;0.986842156876307;0.965242234940814	Physical activity cluster	1.0126	1.0244	1.0673	0.0643
