Trait	Total Observed scale h2	h2_se	Lambda GC	Mean Chi^2	Intercept	int_se	Ratio	Z_h2
NEALE2_20003_1141179992.results	0.0014	0.0011	1.0046	1.0039	0.9939	0.006		1.272727273
SAIGE_261_41.results	0.0014	0.0011	1.0105	1.0022	0.9898	0.0067		1.272727273
SAIGE_281.results	0.0014	0.0011	1.0225	1.0178	1.0075	0.0064	 0.4215 (0.3587)	1.272727273
SAIGE_348_8.results	0.0014	0.0011	1.0046	1.0008	0.9894	0.0059		1.272727273
SAIGE_371_3.results	0.0014	0.0011	0.9868	0.991	0.9804	0.0068	 NA (mean chi^2 < 1)	1.272727273
SAIGE_444_1.results	0.0014	0.0011	0.9986	1.0036	0.9922	0.0055		1.272727273
SAIGE_705_8.results	0.0014	0.0011	1.0105	1.0023	0.9912	0.0067		1.272727273
SAIGE_741_3.results	0.0014	0.0011	0.9986	1.0031	0.9915	0.0064		1.272727273
SAIGE_761.results	0.0014	0.0011	1.0135	1.0178	1.0068	0.0064	 0.3787 (0.361)	1.272727273
SAIGE_964.results	0.0014	0.0011	1.0046	1.0114	1.0005	0.0066	 0.0431 (0.5785)	1.272727273
GCST90011393.results	0.0613	0.0482	1.0105	1.0113	1.0001	0.0066	 0.0055 (0.588)	1.271784232
GCST90013422.results	0.0347	0.0273	1.0527	1.0679	1.0522	0.0082	 0.768 (0.1204)	1.271062271
FINNGEN_R6_NIV.results	0.0047	0.0037	1.0135	1.0234	1.0118	0.0074	 0.5044 (0.3155)	1.27027027
FINNGEN_R6_CD2_BENIGN_MELANOCYTIC_NOS.results	0.0024	0.0019	1.0195	1.017	1.0043	0.0069	 0.2521 (0.4029)	1.263157895
FINNGEN_R6_GLOMER_NEPHRITIS.results	0.0024	0.0019	1.0466	1.0431	1.0305	0.0073	 0.7079 (0.1688)	1.263157895
FINNGEN_R6_I9_CERATHER.results	0.0024	0.0019	0.9986	0.9941	0.9821	0.007	 NA (mean chi^2 < 1)	1.263157895
FINNGEN_R6_L12_ABSCESS_CUT.results	0.0024	0.0019	1.0225	1.0289	1.0172	0.0063	 0.5964 (0.2198)	1.263157895
FINNGEN_R6_ST19_OPEN_WOUND_THORAX.results	0.0024	0.0019	0.9986	1.0034	0.9914	0.007		1.263157895
FINNGEN_R6_TBC_RESP.results	0.0024	0.0019	1.0195	1.0137	1.001	0.0074	 0.0749 (0.543)	1.263157895
FINNGEN_R6_C3_TESTIS.results	0.0053	0.0042	1.0105	1.004	0.9922	0.0071		1.261904762
GCST90060322.results	0.0593	0.047	0.9986	1.0056	0.9936	0.0091		1.261702128
GCST90000442.results	0.6417	0.5089	1.0135	1.0149	1.0027	0.0074	 0.1805 (0.4959)	1.260955001
FINNGEN_R6_C3_MESOTHELIOMA_EXALLC.results	0.0029	0.0023	0.9868	0.9904	0.9784	0.0073	 NA (mean chi^2 < 1)	1.260869565
FINNGEN_R6_C3_SECONDARY_WITHOUT_SITESPEC.results	0.0029	0.0023	1.0105	1	0.9848	0.0075	 NA (mean chi^2 < 1)	1.260869565
FINNGEN_R6_CD2_LYMPHOID_LEUKAEMIA_EXALLC.results	0.0029	0.0023	1.0225	1.0209	1.0084	0.0075	 0.4004 (0.3592)	1.260869565
GCST90060516.results	0.09	0.0715	1.0466	1.0288	1.0107	0.0094	 0.3714 (0.3278)	1.258741259
GCST90026296.results	2.1536	1.7121	1.0195	1.0207	1.0081	0.0068	 0.3907 (0.3281)	1.257870451
FINNGEN_R6_Z21_GENERAL_EXAM_INVES_PERSONS_WO_COMPLA_REPOR_DIAGNOSIS.results	0.0044	0.0035	1.1175	1.1145	1.0998	0.0085	 0.8713 (0.0744)	1.257142857
GCST90026028.results	2.3103	1.8379	1.0315	1.0364	1.0228	0.0074	 0.6261 (0.2031)	1.257032483
GCST90060132.results	0.0563	0.0448	0.9986	1.0189	1.0076	0.0088	 0.4019 (0.4668)	1.256696429
GCST90010266.results	0.4579	0.3645	0.9986	0.9983	0.986	0.0086	 NA (mean chi^2 < 1)	1.256241427
NEALE2_100920_0.results	0.0108	0.0086	1.0135	1.0123	1.0014	0.0061	 0.1113 (0.4951)	1.255813953
GCST90060250.results	0.0688	0.0548	0.9986	1.0178	1.0037	0.0089	 0.2098 (0.4987)	1.255474453
SAIGE_277_4.results	0.0069	0.0055	0.9986	1.0526	0.993	0.0067		1.254545455
GCST90060294.results	0.0504	0.0403	0.9986	1.0049	0.9949	0.008		1.250620347
GCST90026148.results	1.9825	1.5854	1.0345	1.0313	1.0196	0.0065	 0.6253 (0.2088)	1.250473067
FINNGEN_R6_I9_HYPTENSRD.results	0.003	0.0024	1.0105	1.0048	0.9932	0.0072		1.25
NEALE2_20002_1256.results	0.0015	0.0012	1.0075	1.0004	0.9895	0.0058		1.25
NEALE2_20002_1500.results	0.0015	0.0012	1.0165	1.0117	1.0014	0.0064	 0.1166 (0.5466)	1.25
NEALE2_20003_1140866078.results	0.0015	0.0012	1.0135	1.0117	1.0011	0.0061	 0.0979 (0.5215)	1.25
NEALE2_20003_1140873394.results	0.0015	0.0012	1.0075	1.0061	0.9954	0.0065		1.25
NEALE2_20003_1140882618.results	0.0015	0.0012	1.0046	1.0017	0.9908	0.0063		1.25
NEALE2_20003_1140888502.results	0.0015	0.0012	1.0135	1.0076	0.9968	0.0066		1.25
NEALE2_20003_1141168684.results	0.0015	0.0012	1.0195	1.0133	1.0026	0.0061	 0.1927 (0.4598)	1.25
NEALE2_20003_1141180036.results	0.0015	0.0012	1.0135	1.0094	0.9988	0.0061		1.25
NEALE2_6151_4.results	0.0015	0.0012	1.0195	1.0147	1.004	0.0062	 0.273 (0.4222)	1.25
SAIGE_300_4.results	0.0015	0.0012	1.0046	1.0007	0.9892	0.0068		1.25
SAIGE_381.results	0.0015	0.0012	1.0225	1.0257	1.0136	0.0064	 0.5296 (0.2472)	1.25
SAIGE_871.results	0.0015	0.0012	1.0195	1.0158	1.0039	0.0058	 0.2456 (0.3683)	1.25
SAIGE_974.results	0.0015	0.0012	0.9986	0.9891	0.9776	0.0072	 NA (mean chi^2 < 1)	1.25
SAIGE_979.results	0.0015	0.0012	0.9986	1.0038	0.9923	0.0062		1.25
FINNGEN_R6_CD2_BENIGN_TONGUE.results	0.002	0.0016	1.0046	1.0077	0.9972	0.0067		1.25
FINNGEN_R6_G6_POSTZOST.results	0.0025	0.002	0.9986	1.0026	0.9909	0.0078		1.25
FINNGEN_R6_H7_CORNEALOTH.results	0.0025	0.002	1.0135	1.0141	1.0018	0.0072	 0.1266 (0.5122)	1.25
FINNGEN_R6_ST19_FRACT_RIBS_STERNUM_THORACIC_SPINE.results	0.0025	0.002	1.0195	1.0225	1.0095	0.0073	 0.4243 (0.3251)	1.25
NEALE2_5674.results	0.026	0.0208	1.0046	1.0042	0.9934	0.0059		1.25
GCST90060327.results	0.0755	0.0605	0.9986	1.0131	0.9974	0.0102		1.247933884
GCST90026232.results	2.0635	1.6576	1.0345	1.0297	1.0174	0.0066	 0.5874 (0.2219)	1.244872104
GCST90019473.results	0.299	0.2402	1.0105	1.0731	1.0147	0.0072	 0.2004 (0.0986)	1.244796003
NEALE2_2355.results	0.0067	0.0054	1.0135	1.0147	1.0041	0.0058	 0.2765 (0.3954)	1.240740741
FINNGEN_R6_MYELOPROF.results	0.0031	0.0025	1.0225	1.0319	1.0155	0.0071	 0.4869 (0.2222)	1.24
FINNGEN_R6_C3_COLORECTAL.results	0.0026	0.0021	1.0345	1.0419	1.0283	0.0088	 0.6761 (0.2107)	1.238095238
FINNGEN_R6_G6_NEUROOTH.results	0.0026	0.0021	1.0135	1.0164	1.0037	0.0074	 0.2246 (0.449)	1.238095238
FINNGEN_R6_H7_PTOSIS.results	0.0026	0.0021	1.0195	1.0211	1.0085	0.0067	 0.4009 (0.3191)	1.238095238
FINNGEN_R6_H8_HL_PRESBY.results	0.0026	0.0021	1.0285	1.0241	1.0123	0.0075	 0.508 (0.309)	1.238095238
FINNGEN_R6_K11_MIH.results	0.0026	0.0021	0.9957	0.9988	0.9847	0.0075	 NA (mean chi^2 < 1)	1.238095238
GCST90011568.results	0.0605	0.0489	0.9986	1.0026	0.9915	0.0066		1.237218814
GCST90060459.results	0.5801	0.469	0.9986	1.098	0.9846	0.0101		1.236886994
GCST90011689.results	0.0679	0.0549	1.0195	1.021	1.0084	0.0064	 0.4006 (0.306)	1.236794171
FINNGEN_R6_C3_MELANOMA_SKIN.results	0.0021	0.0017	0.9986	0.9948	0.9835	0.0069	 NA (mean chi^2 < 1)	1.235294118
FINNGEN_R6_G6_POLYNEU.results	0.0021	0.0017	1.0285	1.0289	1.0182	0.007	 0.6292 (0.2404)	1.235294118
FINNGEN_R6_H7_IRIDONAS.results	0.0021	0.0017	0.9986	1.0012	0.9906	0.0068		1.235294118
FINNGEN_R6_I9_OTHOTH.parquet.results	0.0021	0.0017	1.0105	1.0083	0.9976	0.0069		1.235294118
FINNGEN_R6_I9_OTHOTH.results	0.0021	0.0017	1.0105	1.0082	0.9976	0.0069		1.235294118
FINNGEN_R6_KRA_PSY_DEVWIDE.results	0.0021	0.0017	1.0135	1.0108	0.9997	0.007		1.235294118
FINNGEN_R6_M13_JUVEARTH.results	0.0037	0.003	1.0285	1.0193	1.0063	0.0071	 0.3275 (0.3679)	1.233333333
NEALE2_20002_1461.results	0.0016	0.0013	0.9986	0.9996	0.9882	0.0069	 NA (mean chi^2 < 1)	1.230769231
NEALE2_20003_1140860750.results	0.0016	0.0013	1.0135	1.0093	0.9976	0.0064		1.230769231
NEALE2_20003_1140862770.results	0.0016	0.0013	1.0075	1.0071	0.9957	0.0071		1.230769231
NEALE2_20003_1140879620.results	0.0016	0.0013	1.0135	1.0103	0.9984	0.0071		1.230769231
NEALE2_20003_1140882800.results	0.0016	0.0013	1.0075	1.0074	0.9957	0.0064		1.230769231
SAIGE_530_3.results	0.0016	0.0013	1.0105	1.0075	0.9955	0.006		1.230769231
SAIGE_656.results	0.0016	0.0013	0.9957	0.9871	0.9733	0.0079	 NA (mean chi^2 < 1)	1.230769231
GCST90011575.results	0.0603	0.0491	1.0046	1.0046	0.9937	0.0065		1.228105906
FINNGEN_R6_E4_DM2COMA.results	0.0027	0.0022	1.0466	1.05	1.0381	0.0068	 0.7617 (0.1365)	1.227272727
FINNGEN_R6_G6_ALZHEIMER_INCLAVO.results	0.0027	0.0022	1.0285	1.0473	1.0333	0.0133	 0.7039 (0.2817)	1.227272727
FINNGEN_R6_I9_ARTEMBTHRNAS.results	0.0027	0.0022	1.0046	1.0054	0.9921	0.0072		1.227272727
FINNGEN_R6_M13_MUSCLE.results	0.0027	0.0022	1.0135	1.009	0.9987	0.0066		1.227272727
FINNGEN_R6_SPONDYLOPATHY_FG.results	0.0027	0.0022	1.0345	1.0293	1.0182	0.009	 0.6223 (0.3078)	1.227272727
GCST90019444.results	0.686	0.5593	1.0436	1.1726	1.0155	0.0077	 0.0901 (0.0445)	1.226533166
GCST90060139.results	0.1195	0.0976	1.0466	1.0417	1.0172	0.0104	 0.4125 (0.2491)	1.224385246
GCST90011389.results	0.0628	0.0513	1.0195	1.0153	1.004	0.0067	 0.2598 (0.4354)	1.22417154
GCST90014291.results	0.0192	0.0157	1.0135	1.0127	0.9993	0.0067		1.222929936
FINNGEN_R6_CD2_BENIGN_HEMANGIOMA.results	0.0022	0.0018	1.0135	1.0083	0.9971	0.0073		1.222222222
FINNGEN_R6_L12_PEMPHIGOID_BULL.results	0.0022	0.0018	0.9986	0.9957	0.9843	0.0071	 NA (mean chi^2 < 1)	1.222222222
FINNGEN_R6_Q17_CONGEN_MALFO_TRACHEA_BRONCHUS.results	0.0022	0.0018	1.0105	1.0061	0.9946	0.0077		1.222222222
FINNGEN_R6_Q17_OTHER_CONGEN_MALFO_TONGUE_MOUTH_PHARYNX.results	0.0022	0.0018	1.0195	1.0156	1.0039	0.0073	 0.249 (0.4655)	1.222222222
FINNGEN_R6_SFN.results	0.0022	0.0018	0.9986	0.9959	0.9847	0.0063	 NA (mean chi^2 < 1)	1.222222222
GCST90038643.results	0.0011	0.0009	0.9986	1.0055	0.9952	0.006		1.222222222
GCST90038674.results	0.0011	0.0009	0.9986	1.0162	1.006	0.0063	 0.3714 (0.3881)	1.222222222
FINNGEN_R6_C3_TESTIS_EXALLC.results	0.0066	0.0054	1.0105	1.0041	0.9927	0.0071		1.222222222
FINNGEN_R6_E4_LACTOSEINT.results	0.0066	0.0054	1.0046	1.0372	1.0031	0.0066	 0.0846 (0.1769)	1.222222222
GCST90013559.results	0.8148	0.6681	0.9986	1.0054	0.9921	0.0102		1.219577907
NEALE2_100630.results	0.01	0.0082	1.0135	1.0111	1.0009	0.006	 0.0778 (0.5429)	1.219512195
FINNGEN_R6_CD2_MULTIPLE_MYELOMA_PLASMA_CELL_EXALLC.results	0.0028	0.0023	1.0105	1.0115	0.9996	0.0064		1.217391304
FINNGEN_R6_RHEUMA_SEROPOS_STRICT.results	0.0028	0.0023	1.0195	1.0273	1.0125	0.0083	 0.4584 (0.3019)	1.217391304
GCST90011332.results	0.0589	0.0484	1.0105	1.0124	1.0016	0.0066	 0.1324 (0.534)	1.216942149
NEALE2_20084_481.results	0.0102	0.0084	0.9986	1.0018	0.9914	0.0061		1.214285714
NEALE2_20003_1141200768.results	0.0017	0.0014	1.0105	1.0133	1.0005	0.0076	 0.0402 (0.5711)	1.214285714
NEALE2_22134.results	0.0057	0.0047	1.0075	1.0069	0.9965	0.0064		1.212765957
GCST90026174.results	1.9047	1.5726	1.0405	1.0353	1.0242	0.0072	 0.6855 (0.2049)	1.211178939
FINNGEN_R6_CHILDHOOD_ALLERGY.results	0.0023	0.0019	1.0375	1.0461	1.0343	0.0071	 0.7441 (0.1542)	1.210526316
FINNGEN_R6_H7_PARASTRA6.results	0.0023	0.0019	1.0195	1.0147	1.003	0.0074	 0.2036 (0.5058)	1.210526316
FINNGEN_R6_H7_VISUDISTURBSUB.results	0.0023	0.0019	1.0225	1.0289	1.017	0.0068	 0.5903 (0.2348)	1.210526316
FINNGEN_R6_N14_RENFAIL.results	0.0023	0.0019	1.0375	1.0411	1.029	0.0073	 0.7053 (0.1777)	1.210526316
NEALE2_20552_1.results	0.0046	0.0038	1.0046	1.0107	0.9999	0.0058		1.210526316
GCST90019475.results	0.0519	0.0429	1.0315	1.0235	1.0127	0.0055	 0.5388 (0.2338)	1.20979021
FINNGEN_R6_CD2_INSITU_BREAST_EXALLC.results	0.0052	0.0043	1.0105	1.0151	1.0024	0.0069	 0.1584 (0.4608)	1.209302326
FINNGEN_R6_E4_DMNASCOMA.results	0.0029	0.0024	1.0105	1.0066	0.9936	0.0076		1.208333333
FINNGEN_R6_C3_CORPUS_UTERI.results	0.0035	0.0029	1.0195	1.0168	1.0067	0.006	 0.3978 (0.3589)	1.206896552
GCST90019460.results	0.0858	0.0711	1.0165	1.0315	1.0137	0.0059	 0.4343 (0.1868)	1.206751055
GCST90011599.results	0.0626	0.0519	1.0165	1.013	1.0013	0.0065	 0.0984 (0.5017)	1.206165703
NEALE2_22140.results	0.0065	0.0054	1.0105	1.004	0.9915	0.0071		1.203703704
GCST90026118.results	2.0061	1.6708	1.0195	1.0303	1.0185	0.0067	 0.6123 (0.2223)	1.200682308
FINNGEN_R6_F5_Dementia_U.results	0.0018	0.0015	1.0225	1.0179	1.0087	0.0073	 0.4888 (0.4059)	1.2
FINNGEN_R6_F5_VASCDEM.results	0.0024	0.002	1.0195	1.0238	1.0119	0.0082	 0.5005 (0.346)	1.2
FINNGEN_R6_J10_BRONCHIECTASIS.results	0.0024	0.002	0.9986	1.0097	0.9991	0.0073		1.2
FINNGEN_R6_K11_PULP_PERIAPICAL.results	0.0024	0.002	1.0225	1.0248	1.0133	0.0068	 0.5384 (0.2764)	1.2
FINNGEN_R6_O15_ECLAMPSIA.results	0.0036	0.003	1.0225	1.0228	1.0129	0.0067	 0.566 (0.2954)	1.2
FINNGEN_R6_R18_LOCALIZED_SWELL_MASS_LUMP_SKIN_SUBCU_TISSUE.results	0.0024	0.002	1.0135	1.0189	1.0067	0.0068	 0.3539 (0.3617)	1.2
FINNGEN_R6_Z21_FOLLOW__CARE_INVOLVI_PLASTIC_SURGE.results	0.0024	0.002	1.0285	1.0263	1.0151	0.0063	 0.5726 (0.2415)	1.2
SAIGE_569_2.results	0.0012	0.001	1.0105	1.0031	0.9941	0.0062		1.2
SAIGE_707.results	0.0012	0.001	0.9957	0.9956	0.9864	0.0063	 NA (mean chi^2 < 1)	1.2
SAIGE_722_1.results	0.0012	0.001	0.9957	0.9958	0.9867	0.006	 NA (mean chi^2 < 1)	1.2
SAIGE_750_13.results	0.0012	0.001	0.9957	0.9928	0.9835	0.0061	 NA (mean chi^2 < 1)	1.2
GCST90000483.results	0.6155	0.5136	1.0165	1.0126	1.0006	0.0068	 0.0516 (0.5375)	1.198403427
GCST90026213.results	1.9155	1.5986	1.0285	1.0348	1.0235	0.0065	 0.6756 (0.1862)	1.198235956
GCST90026162.results	1.8213	1.5266	1.0255	1.0279	1.0173	0.0066	 0.6201 (0.2368)	1.193043364
FINNGEN_R6_M13_ARTHINOTH.results	0.0031	0.0026	0.9986	1.005	0.9939	0.0075		1.192307692
GCST90011994.results	0.0242	0.0203	1.0075	1.0096	0.9993	0.0058		1.192118227
NEALE2_40001_C169.results	0.0559	0.0469	1.0016	1.0022	0.992	0.0068		1.191897655
FINNGEN_R6_CD2_BENIGN_SKIN_EYELID_EXALLC.results	0.0025	0.0021	1.0105	1.0162	1.0056	0.0067	 0.3468 (0.411)	1.19047619
FINNGEN_R6_CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC_EXALLC.results	0.0025	0.0021	1.0225	1.0259	1.0151	0.0066	 0.5828 (0.2564)	1.19047619
GCST90019467.results	0.0513	0.0431	1.0165	1.0205	1.0099	0.0057	 0.4817 (0.2766)	1.19025522
GCST90011713.results	0.0609	0.0512	1.0075	1.0081	0.9967	0.0072		1.189453125
FINNGEN_R6_D3_ACQHAEMOLYTICANAEMIA.results	0.0019	0.0016	1.0135	1.01	1.0002	0.0072	 0.0243 (0.7156)	1.1875
FINNGEN_R6_Z21_SUPERV_HIGH_R_PREGNAC.results	0.0051	0.0043	1.0557	1.0511	1.0393	0.0075	 0.7686 (0.1476)	1.186046512
GCST90011589.results	0.0657	0.0554	1.0165	1.0174	1.0051	0.0076	 0.2939 (0.4362)	1.185920578
GCST90060487.results	0.0804	0.0678	0.9986	1.0257	1.0095	0.0087	 0.3702 (0.339)	1.185840708
FINNGEN_R6_M13_PATHODISLOCATIO.results	0.0032	0.0027	1.0195	1.0193	1.0083	0.0072	 0.4283 (0.3725)	1.185185185
GCST90060456.results	0.2214	0.1869	0.9986	1.0479	1.0039	0.0092	 0.0804 (0.1913)	1.18459069
FINNGEN_R6_O15_PREG_PROLONGED.results	0.0045	0.0038	1.0135	1.0203	1.0093	0.0072	 0.4576 (0.355)	1.184210526
GCST90060315.results	0.3397	0.287	0.9986	1.0618	0.9944	0.0093		1.183623693
GCST90012072.results	0.0246	0.0208	1.0016	1.0042	0.9937	0.0057		1.182692308
GCST90012006.results	0.117	0.099	1.0195	1.0518	1.0049	0.0068	 0.0938 (0.1314)	1.181818182
FINNGEN_R6_C3_MELANOMA_SKIN_EXALLC.results	0.0026	0.0022	0.9986	0.995	0.9842	0.0069	 NA (mean chi^2 < 1)	1.181818182
FINNGEN_R6_K11_OTHANRECT.results	0.0026	0.0022	1.0285	1.0304	1.019	0.0074	 0.6236 (0.2429)	1.181818182
FINNGEN_R6_Z21_ATTN_ARTIF_OPENI.results	0.0026	0.0022	0.9957	1.0012	0.9894	0.0073		1.181818182
NEALE2_20002_1541.results	0.0013	0.0011	1.0225	1.0161	1.0074	0.006	 0.4602 (0.3718)	1.181818182
NEALE2_20003_1141168108.results	0.0013	0.0011	1.0075	1.0002	0.991	0.0057		1.181818182
SAIGE_204_1.results	0.0013	0.0011	1.0105	1.009	0.999	0.0065		1.181818182
SAIGE_204_12.results	0.0013	0.0011	1.0135	1.0097	0.9997	0.0064		1.181818182
SAIGE_242_2.results	0.0013	0.0011	1.0105	0.9997	0.9888	0.0062	 NA (mean chi^2 < 1)	1.181818182
SAIGE_352_2.results	0.0013	0.0011	1.0046	1.0044	0.9945	0.0055		1.181818182
SAIGE_380.results	0.0013	0.0011	1.0195	1.013	1.0023	0.0057	 0.1804 (0.4415)	1.181818182
SAIGE_386_1.results	0.0013	0.0011	1.0135	1.0063	0.9961	0.006		1.181818182
SAIGE_425_11.results	0.0013	0.0011	1.0046	1.0014	0.991	0.0067		1.181818182
SAIGE_473.results	0.0013	0.0011	0.9898	0.9926	0.983	0.0056	 NA (mean chi^2 < 1)	1.181818182
SAIGE_480_2.results	0.0013	0.0011	0.9898	0.9948	0.984	0.0078	 NA (mean chi^2 < 1)	1.181818182
SAIGE_574_11.results	0.0013	0.0011	1.0195	1.019	1.0086	0.0062	 0.4557 (0.325)	1.181818182
SAIGE_592_13.results	0.0013	0.0011	0.9957	0.9955	0.9859	0.0061	 NA (mean chi^2 < 1)	1.181818182
SAIGE_696_42.results	0.0013	0.0011	0.9986	1.0043	0.9941	0.0064		1.181818182
SAIGE_755.results	0.0013	0.0011	0.9957	0.9961	0.9859	0.006	 NA (mean chi^2 < 1)	1.181818182
GCST90006924.results	0.0878	0.0743	1.0225	1.0204	1.01	0.0059	 0.4915 (0.2905)	1.181695828
GCST90010298.results	0.4138	0.3502	1.0016	1.0013	0.9905	0.0082		1.181610508
GCST90026107.results	1.8514	1.5683	1.0165	1.0287	1.0178	0.0069	 0.6222 (0.2398)	1.180513932
GCST90010337.results	0.4045	0.3435	0.9986	1.0015	0.991	0.0076		1.177583697
FINNGEN_R6_AB1_RESP_TUBERCU_NONCONF.results	0.002	0.0017	1.0105	1.0109	1.0006	0.0069	 0.0591 (0.6277)	1.176470588
FINNGEN_R6_H7_CORNEALNAS.results	0.002	0.0017	1.0046	1.0052	0.9953	0.0074		1.176470588
GCST90006892.results	0.2516	0.2143	1.0016	1.006	0.9956	0.0059		1.174055063
FINNGEN_R6_CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA_EXALLC.results	0.0027	0.0023	1.0135	1.0089	0.9979	0.0068		1.173913043
FINNGEN_R6_CD2_BENIGN_OESOPHAGUS_EXALLC.results	0.0027	0.0023	1.0105	1.0057	0.9943	0.0076		1.173913043
SAIGE_286_1.results	0.0027	0.0023	1.0046	1.0196	0.998	0.0059		1.173913043
GCST90060552.results	0.106	0.0903	0.9986	1.0187	0.9975	0.0091		1.173864895
GCST90011666.results	0.0554	0.0472	1.0105	1.0041	0.9941	0.0067		1.173728814
NEALE2_5855_2.results	0.0529	0.0451	1.0105	1.0068	0.9967	0.0063		1.172949002
FINNGEN_R6_CD2_BENIGN_UTERUS_OTH.results	0.0041	0.0035	1.0135	1.012	0.9999	0.0075		1.171428571
FINNGEN_R6_M13_ENTEROARTHR.results	0.0035	0.003	1.0046	1.0067	0.9944	0.0078		1.166666667
FINNGEN_R6_M13_PLANTARFASC.results	0.0028	0.0024	1.0195	1.018	1.0068	0.0074	 0.3775 (0.4096)	1.166666667
FINNGEN_R6_SMOKING.results	0.0035	0.003	1.0225	1.0265	1.0152	0.007	 0.5755 (0.2649)	1.166666667
NEALE2_20002_1135.results	0.0014	0.0012	1.0135	1.0081	0.9976	0.0065		1.166666667
NEALE2_20002_1257.results	0.0014	0.0012	1.0135	1.0107	1.0009	0.0064	 0.0848 (0.5986)	1.166666667
NEALE2_20002_1385.results	0.0014	0.0012	1.0105	1.0131	1.0029	0.0064	 0.222 (0.4893)	1.166666667
NEALE2_20002_1457.results	0.0014	0.0012	1.0165	1.0201	1.01	0.0063	 0.4975 (0.315)	1.166666667
NEALE2_20003_1140872694.results	0.0014	0.0012	1.0075	1.0022	0.9918	0.0072		1.166666667
NEALE2_20003_1140888098.results	0.0014	0.0012	1.0075	1.0137	1.004	0.0063	 0.2943 (0.4582)	1.166666667
NEALE2_20003_1141177532.results	0.0014	0.0012	1.0046	0.9977	0.9877	0.0061	 NA (mean chi^2 < 1)	1.166666667
NEALE2_20003_1141200004.results	0.0014	0.0012	1.0165	1.0146	1.0044	0.0062	 0.3046 (0.4234)	1.166666667
SAIGE_117_4.results	0.0014	0.0012	1.0225	1.0162	1.0048	0.0068	 0.2993 (0.4221)	1.166666667
SAIGE_198_7.results	0.0014	0.0012	1.0105	0.9959	0.9854	0.0066	 NA (mean chi^2 < 1)	1.166666667
SAIGE_242_1.results	0.0014	0.0012	1.0195	1.0146	1.0039	0.0066	 0.2685 (0.4518)	1.166666667
SAIGE_285_22.results	0.0014	0.0012	0.9986	1.0056	0.9948	0.0055		1.166666667
SAIGE_302.results	0.0014	0.0012	1.0046	1.001	0.9908	0.0065		1.166666667
SAIGE_521.results	0.0014	0.0012	1.0135	1.0165	1.0056	0.0064	 0.3411 (0.3847)	1.166666667
SAIGE_735_1.results	0.0014	0.0012	1.0046	1.002	0.9907	0.007		1.166666667
SAIGE_958_2.results	0.0014	0.0012	1.0105	0.9976	0.9849	0.0077	 NA (mean chi^2 < 1)	1.166666667
SAIGE_967.results	0.0014	0.0012	0.9986	1.0102	0.9994	0.0061		1.166666667
FINNGEN_R6_ARTRHO_POSTDYSENTERIC.results	0.0021	0.0018	1.0135	1.0121	1.0012	0.0071	 0.102 (0.5862)	1.166666667
FINNGEN_R6_CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA.results	0.0021	0.0018	1.0105	1.0093	0.9986	0.0068		1.166666667
FINNGEN_R6_CD2_BENIGN_OESOPHAGUS.results	0.0021	0.0018	1.0105	1.0063	0.995	0.0076		1.166666667
FINNGEN_R6_DIS_THYROID_OTH.results	0.0021	0.0018	1.0105	1.0001	0.9891	0.0074		1.166666667
FINNGEN_R6_P16_OTH_DISORD_ORIGINA_PERINA_PERIOD.results	0.0021	0.0018	1.0046	1.0034	0.9922	0.0075		1.166666667
GCST90011613.results	0.0626	0.0538	0.9927	1.005	0.9933	0.0074		1.163568773
GCST90060374.results	0.085	0.0732	0.9986	1.0196	1.0027	0.0093	 0.1375 (0.4746)	1.161202186
FINNGEN_R6_M13_METATARSALGIA.results	0.0029	0.0025	1.0105	1.0176	1.0064	0.0069	 0.3656 (0.3954)	1.16
GCST90060108.results	0.0567	0.0489	0.9986	1	0.9885	0.0093		1.159509202
NEALE2_20084_482.results	0.0095	0.0082	1.0075	1.0032	0.9935	0.0058		1.158536585
FINNGEN_R6_D3_IMMUNEMECHANISMOTHER.results	0.0022	0.0019	1.0225	1.0198	1.0084	0.0073	 0.4237 (0.3713)	1.157894737
FINNGEN_R6_L12_FOLLICULARCYST.results	0.0022	0.0019	1.0375	1.033	1.022	0.0073	 0.6651 (0.2212)	1.157894737
FINNGEN_R6_Q17_CHEFT_HARD_PALATE_NOS.results	0.0022	0.0019	1.0135	1.0108	0.9989	0.0072		1.157894737
FINNGEN_R6_ST19_INJURI_HIP_THIGH.results	0.0022	0.0019	1.0225	1.0269	1.0154	0.0079	 0.5728 (0.2935)	1.157894737
FINNGEN_R6_R18_OEDEMA_NOT_ELSEW_CLASSIFIED.results	0.0037	0.0032	1.0527	1.0475	1.0314	0.0088	 0.6609 (0.1859)	1.15625
NEALE2_20084_471.results	0.0104	0.009	1.0135	1.0108	1.0001	0.0059	 0.0133 (0.5417)	1.155555556
GCST90060346.results	0.1761	0.1525	0.9986	1.0325	0.9969	0.0097		1.154754098
GCST90026610.results	0.3787	0.3281	0.9839	0.9837	0.9765	0.0056	 NA (mean chi^2 < 1)	1.154221274
NEALE2_103020.results	0.0105	0.0091	1.0165	1.0129	1.0022	0.0065	 0.1723 (0.506)	1.153846154
NEALE2_20002_1082.results	0.0015	0.0013	0.9927	1.0054	0.9949	0.0058		1.153846154
